order_id,order_date,customer_id,customer_segment,channel,product_name,sku_id,category,quantity,unit_price,discount_amount,revenue,cogs,gross_margin,city,state,payment_method,order_status,return_reason,carrier,shipping_days,promised_delivery_date,actual_delivery_date
ORD-10000,2020-01-02,CUST-10061,Loyal,Email Campaign,Smart LED Bulb,SKU-LED-007,Smart Home,3,1739.35,0.0,5218.05,2191.58,3026.47,Chennai,Tamil Nadu,Net Banking,Delivered,,DTDC,3,2020-01-08,2020-01-05
ORD-10001,2020-01-03,CUST-10743,Returning,Direct Website,Running Shoes V3,SKU-RUN-010,Footwear,1,8242.2,2027.28,6214.92,3708.99,2505.93,Hyderabad,Telangana,Cash on Delivery,Returned,Changed mind,DTDC,4,2020-01-09,2020-01-07
ORD-10002,2020-01-03,CUST-11650,New,Organic Search,Wireless Earbuds Pro,SKU-EAR-001,Electronics,3,2740.45,0.0,8221.35,4275.1,3946.25,Delhi,Delhi,Cash on Delivery,Cancelled,,DTDC,10,2020-01-09,2020-01-13
ORD-10003,2020-01-04,CUST-10241,Loyal,Amazon Marketplace,Mechanical Keyboard,SKU-KEY-004,Electronics,3,3671.57,0.0,11014.71,6058.09,4956.62,Surat,Gujarat,Net Banking,Delivered,,XpressBees,4,2020-01-07,2020-01-08
ORD-10004,2020-01-04,CUST-10386,Loyal,Google Ads,Bamboo Water Bottle,SKU-LIF-003,Lifestyle,3,662.39,0.0,1987.17,695.51,1291.66,Mumbai,Maharashtra,Debit Card,Delivered,,Delhivery,3,2020-01-08,2020-01-07
ORD-10005,2020-01-05,CUST-10263,Loyal,Instagram Ads,Yoga Mat Premium,SKU-YOG-006,Fitness,2,1432.99,0.0,2865.98,1089.07,1776.91,Jaipur,Rajasthan,Net Banking,Delivered,,Delhivery,6,2020-01-09,2020-01-11
ORD-10006,2020-01-05,CUST-10045,Loyal,Instagram Ads,Yoga Mat Premium,SKU-YOG-006,Fitness,1,2024.18,0.0,2024.18,769.19,1254.99,Chennai,Tamil Nadu,Wallet,Delivered,,DTDC,6,2020-01-11,2020-01-11
ORD-10007,2020-01-06,CUST-10847,Returning,Flipkart Marketplace,Coffee Grinder Mini,SKU-COF-009,Kitchen,1,2668.88,0.0,2668.88,1067.55,1601.33,Mumbai,Maharashtra,Debit Card,Delivered,,Delhivery,6,2020-01-10,2020-01-12
ORD-10008,2020-01-06,CUST-10962,Returning,Referral,Running Shoes V3,SKU-RUN-010,Footwear,1,2535.43,388.22,2147.21,1140.94,1006.27,Delhi,Delhi,UPI,Refunded,Changed mind,XpressBees,5,2020-01-09,2020-01-11
ORD-10009,2020-01-06,CUST-13031,At-Risk,Google Ads,Portable Charger 20k,SKU-CHG-008,Electronics,1,2234.06,0.0,2234.06,1184.05,1050.01,Pune,Maharashtra,UPI,Delivered,,XpressBees,2,2020-01-09,2020-01-08
ORD-10010,2020-01-06,CUST-11811,New,Google Ads,Fitness Tracker X2,SKU-FIT-002,Electronics,2,7353.88,0.0,14707.76,7059.72,7648.04,Delhi,Delhi,Net Banking,Delivered,,BlueDart,4,2020-01-08,2020-01-10
